Tree ID,Tag No,Plot,Subplot,Family,Species,Tree Notes,WD,DBH0_05,DBH1_05,DBH2_05,DBH3_05,DBH4_05,DBH0_09,DBH1_09,DBH2_09,DBH3_09,DBH4_09,DBH0_13,DBH1_13,DBH2_13,DBH3_13,DBH4_13,Census Notes
386892,3814,1,19,Apocynaceae,Picralima nitida,,0.775,161,161,161,161,161,177,177,177,177,177,166,166,166,166,166,
386893,3815,1,19,Urticaceae,Musanga cecropioides,,0.242833333,483,483,483,483,483,,504,504,504,504,611,611,611,611,611,One measurement; still-roots
386894,3816,1,19,Fabaceae,Parkia filicoidea,,0.4575,163,163,163,163,163,173,173,173,173,173,174,174,174,174,174,
386895,3817,1,19,Euphorbiaceae,Ricinodendron heudelotii,,0.2106,391,391,391,391,391,446,446,446,446,446,526,526,526,526,526,
386896,3818,1,19,Meliaceae,Entandrophragma candollei,,0.574,430,430,430,430,430,452,452,452,452,452,496,496,496,496,496,
386897,3819,1,19,Meliaceae,Turraeanthus africanus,,0.4946,171,171,171,171,171,0,0,0,0,0,0,0,0,0,0,
386898,3820,1,0,Urticaceae,Myrianthus arboreus,,0.43,524,524,524,524,524,0,0,0,0,0,0,0,0,0,0,
386899,3821,1,0,Meliaceae,Trichilia rubescens,,0.52025,124,124,124,124,124,129,129,129,129,129,0,0,0,0,0,
386900,3822,1,0,Euphorbiaceae,Tetrorchidium didymostemon,,0.439,159,159,159,159,159,162,162,162,162,162,0,0,0,0,0,
386901,3823,1,22,Meliaceae,Carapa procera,,0.6042,104,104,104,104,104,116,116,116,116,116,113,113,113,113,113,
386902,3824,1,22,Fabaceae,Parkia filicoidea,,0.4575,317,317,317,317,317,322,322,322,322,322,324,324,324,324,324,
386903,3825,1,22,Meliaceae,Trichilia welwitschii,,0.52025,128,128,128,128,128,138,138,138,138,138,147,147,147,147,147,
387098,3826,1,22,Cannabaceae,Celtis adolfi-friderici,,0.616166667,103,103,103,103,103,153,153,153,153,153,190,190,190,190,190,
386904,3827,1,23,Euphorbiaceae,Dichostemma glaucescens,,0.552291361,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,
386905,3828,1,23,Irvingiaceae,Irvingia grandifolia,,0.8005,224,224,224,224,224,222,222,222,222,222,219,219,219,219,219,
386906,3829,1,22,Fabaceae,Amphimas pterocarpoides,,0.617428571,135,135,135,135,135,135,135,135,135,135,138,138,138,138,138,
386907,3830,1,22,Euphorbiaceae,Dichostemma glaucescens,,0.552291361,,141,141,141,141,144,144,144,144,144,146,146,146,146,146,
386908,3831,1,22,Euphorbiaceae,Mallotus oppositifolius,,0.552291361,125,125,125,125,125,120,120,120,120,120,135,135,135,135,135,
386909,3832,1,14,Sapotaceae,Omphalocarpum procerum,,0.55,114,114,114,114,114,113,113,113,113,113,114,114,114,114,114,Broken at about 3 m
386910,3833,1,19,Euphorbiaceae,Ricinodendron heudelotii,,0.2106,,493,493,493,493,503,503,503,503,503,555,555,555,555,555,
386911,3834,1,19,Malvaceae,Desplatsia chrysochlamys,,0.474369071,103,103,103,103,103,104,104,104,104,104,107,107,107,107,107,
386912,3835,1,19,Achariaceae,Caloncoba crepiniana,,0.558875,190,190,190,190,190,187,187,187,187,187,0,0,0,0,0,
387099,3836,1,19,Cannabaceae,Celtis adolfi-friderici,,0.616166667,516,516,516,516,516,531,531,531,531,531,513,513,513,513,513,One measurement; high buttresses
386913,3837,1,19,Ebenaceae,Diospyros canaliculata,,0.828845238,103,103,103,103,103,102,102,102,102,102,123,123,123,123,123,
386914,3838,1,19,Fabaceae,Albizia gummifera,var. ealaensis,0.5,121,121,121,121,121,156,156,156,156,156,196,196,196,196,196,
386915,3839,1,19,Euphorbiaceae,Discoglypremna caloneura,,0.3396,120,120,120,120,120,123,123,123,123,123,124,124,124,124,124,
386916,3840,1,19,Combretaceae,Terminalia superba,,0.458929825,207,207,207,207,207,229,229,229,229,229,237,237,237,237,237,
387100,3841,1,19,Euphorbiaceae,Antidesma laciniatum,,0.552291361,120,120,120,120,120,115,115,115,115,115,0,0,0,0,0,
386917,3842,1,13,Annonaceae,Hexalobus crispiflorus,,0.483666667,116,116,116,116,116,125,125,125,125,125,111,111,111,111,111,
387101,3843,1,12,Euphorbiaceae,Antidesma laciniatum,,0.552291361,150,150,150,150,150,157,157,157,157,157,146,146,146,146,146,
386918,3844,1,12,Bignoniaceae,Markhamia indet,,0.473666667,151,151,151,151,151,150,150,150,150,150,148,148,148,148,148,
386919,3845,1,12,Urticaceae,Myrianthus arboreus,,0.43,254,254,254,254,254,278,278,278,278,278,251,251,251,251,251,
386920,3846,1,12,Malvaceae,Duboscia viridiflora,,0.474369071,383,383,383,383,383,412,412,412,412,412,397,397,397,397,397,One measurement; irregular bole
386921,3847,1,12,Malvaceae,Grewia oligoneura,,0.415,189,189,189,189,189,190,190,190,190,190,186,186,186,186,186,Broken at about 5 m
386922,3848,1,13,Fabaceae,Pterocarpus soyauxii,,0.657785714,264,264,264,264,264,264,264,264,264,264,237,237,237,237,237,Broken at about 12 m
386923,3849,1,9,Urticaceae,Myrianthus arboreus,,0.43,271,271,271,271,271,286,286,286,286,286,255,255,255,255,255,
386924,3850,1,8,Pandaceae,Panda oleosa,,0.565,172,172,172,172,172,171,171,171,171,171,0,0,0,0,0,
386925,3851,1,9,Malvaceae,Desplatsia dewevrei,,0.474369071,132,132,132,132,132,132,132,132,132,132,137,137,137,137,137,Paint at opposite side because of wasps
386926,3852,1,3,Sapotaceae,Pouteria altissima,,0.44175,115,115,115,115,115,118,118,118,118,118,116,116,116,116,116,
386927,3853,1,3,Euphorbiaceae,Croton mayumbensis,,0.493345833,131,131,131,131,131,200,200,200,200,200,285,285,285,285,285,
386928,3854,1,0,Urticaceae,Musanga cecropioides,,0.242833333,852,852,852,852,852,0,0,0,0,0,0,0,0,0,0,
386929,3855,1,8,Euphorbiaceae,Ricinodendron heudelotii,,0.2106,,588,588,588,588,624,624,624,624,624,651,651,651,651,651,Broken at about 28 m; paint at opposite side; many spiny vines  
386930,3856,1,0,Myristicaceae,Coelocaryon indet,,0.493532164,129,129,129,129,129,0,0,0,0,0,0,0,0,0,0,
386931,3857,1,8,Apocynaceae,Funtumia elastica,,0.424,105,105,105,105,105,112,112,112,112,112,121,121,121,121,121,
386932,3858,1,8,Burseraceae,Santiria trimera,,0.546333333,110,110,110,110,110,112,112,112,112,112,117,117,117,117,117,
386933,3859,1,13,Meliaceae,Trichilia tessmannii,,0.52025,,165,165,165,165,170,170,170,170,170,151,151,151,151,151,
386934,3860,1,13,Malvaceae,Cola indet,sp._A,0.578277778,,107,107,107,107,110,110,110,110,110,101,101,101,101,101,
386935,3861,1,8,Meliaceae,Trichilia welwitschii,,0.52025,177,177,177,177,177,235,235,235,235,235,259,259,259,259,259,
386936,3862,1,0,Meliaceae,Trichilia rubescens,,0.52025,246,246,246,246,246,256,256,256,256,256,0,0,0,0,0,
386937,3863,1,0,Sapindaceae,Deinbollia molliuscula,,0.661607143,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,
387102,3864,1,13,Euphorbiaceae,Uapaca vanhouttei,,0.638822449,140,140,140,140,140,142,142,142,142,142,137,137,137,137,137,
386938,3865,1,13,Meliaceae,Trichilia rubescens,,0.52025,128,128,128,128,128,130,130,130,130,130,123,123,123,123,123,
387103,3866,1,13,Euphorbiaceae,Uapaca vanhouttei,,0.638822449,,171,171,171,171,174,174,174,174,174,180,180,180,180,180,
386939,3867,1,13,Meliaceae,Trichilia rubescens,,0.52025,,146,146,146,146,149,149,149,149,149,133,133,133,133,133,
386940,3868,1,13,Urticaceae,Myrianthus arboreus,,0.43,578,578,578,578,578,585,585,585,585,585,555,555,555,555,555,
386941,3869,1,13,Oleaceae,Schrebera arborea,,0.663,500,500,500,500,500,,520,520,520,520,928,928,928,928,928,One measurement; High buttresses
386942,3870,1,13,Meliaceae,Carapa procera,,0.6042,100,100,100,100,100,111,111,111,111,111,127,127,127,127,127,
386943,3871,1,13,Lepidobotryaceae,Lepidobotrys staudtii,,0.5020669,139,139,139,139,139,140,140,140,140,140,128,128,128,128,128,
386944,3872,1,18,Malvaceae,Ceiba pentandra,,0.280642857,,982,982,982,982,1000,1000,1000,1000,1000,1619,1619,1619,1619,1619,
386945,3873,1,0,Meliaceae,Trichilia rubescens,,0.52025,158,158,158,158,158,0,0,0,0,0,0,0,0,0,0,
386946,3874,1,18,Ebenaceae,Diospyros canaliculata,,0.828845238,153,153,153,153,153,160,160,160,160,160,158,158,158,158,158,
386947,3875,1,18,Urticaceae,Myrianthus arboreus,,0.43,,441,441,441,441,462,462,462,462,462,410,410,410,410,410,
387104,3876,1,18,Euphorbiaceae,Uapaca vanhouttei,,0.638822449,130,130,130,130,130,135,135,135,135,135,132,132,132,132,132,
386948,3877,1,18,Malvaceae,Desplatsia chrysochlamys,,0.474369071,100,100,100,100,100,100,100,100,100,100,104,104,104,104,104,
386949,3878,1,18,Meliaceae,Trichilia rubescens,,0.52025,105,105,105,105,105,110,110,110,110,110,128,128,128,128,128,
386950,3879,1,18,Malvaceae,Duboscia viridiflora,,0.474369071,253,253,253,253,253,254,254,254,254,254,231,231,231,231,231,
386951,3880,1,8,Meliaceae,Trichilia rubescens,,0.52025,,108,108,108,108,110,110,110,110,110,109,109,109,109,109,POM to be changed in the future
386952,3881,1,23,Euphorbiaceae,Discoglypremna caloneura,,0.3396,146,146,146,146,146,148,148,148,148,148,152,152,152,152,152,
386953,3882,1,0,Euphorbiaceae,Ricinodendron heudelotii,,0.2106,308,308,308,308,308,305,305,305,305,305,0,0,0,0,0,
386954,3883,1,23,Urticaceae,Musanga cecropioides,,0.242833333,,490,490,490,490,,511,511,511,511,650,650,650,650,650,
387105,3884,1,23,Euphorbiaceae,Antidesma laciniatum,,0.552291361,272,272,272,272,272,270,270,270,270,270,219,219,219,219,219,
387106,3885,1,6,Euphorbiaceae,Antidesma laciniatum,,0.552291361,119,119,119,119,119,120,120,120,120,120,122,122,122,122,122,
386955,3886,1,23,Sapindaceae,Lecaniodiscus cupanioides,,0.661607143,139,139,139,139,139,142,142,142,142,142,148,148,148,148,148,
386956,3887,1,23,Fabaceae,Amphimas pterocarpoides,,0.617428571,106,106,106,106,106,109,109,109,109,109,114,114,114,114,114,
386957,3888,1,0,Euphorbiaceae,Mallotus oppositifolius,,0.552291361,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,
386958,3889,1,23,Sapindaceae,Lecaniodiscus cupanioides,,0.661607143,264,264,264,264,264,275,275,275,275,275,259,259,259,259,259,
387107,3890,1,23,Euphorbiaceae,Antidesma laciniatum,,0.552291361,157,157,157,157,157,156,156,156,156,156,0,0,0,0,0,
387108,3891,1,24,Cannabaceae,Celtis adolfi-friderici,,0.616166667,229,229,229,229,229,228,228,228,228,228,224,224,224,224,224,
386959,3892,1,18,Meliaceae,Trichilia rubescens,,0.52025,129,129,129,129,129,132,132,132,132,132,137,137,137,137,137,
386960,3893,1,23,Fabaceae,Anthonotha macrophylla,,0.841666667,105,105,105,105,105,106,106,106,106,106,109,109,109,109,109,
386961,3894,1,23,Fabaceae,Albizia ferruginea,,0.494333333,450,450,450,450,450,501,501,501,501,501,502,502,502,502,502,
386962,3895,1,16,Salicaceae,Homalium stipulaceum,,0.71425,172,172,172,172,172,176,176,176,176,176,173,173,173,173,173,
386963,3896,1,0,Euphorbiaceae,Macaranga monandra,,0.41525,113,113,113,113,113,115,115,115,115,115,0,0,0,0,0,
386964,3897,1,0,Ixonanthaceae,Phyllocosmus africanus,,0.78,,195,195,195,195,198,198,198,198,198,0,0,0,0,0,
386965,3898,1,18,Meliaceae,Trichilia prieuriana,ssp. vermoesenii,0.663,,136,136,136,136,134,134,134,134,134,184,184,184,184,184,
386966,3899,1,18,Malvaceae,Christiana africana,,0.474369071,163,163,163,163,163,168,168,168,168,168,163,163,163,163,163,
386967,3900,1,18,Malvaceae,Ceiba pentandra,,0.280642857,,814,814,814,814,845,845,845,845,845,857,857,857,857,857,One measurement; high buttresses
387109,3901,1,0,Euphorbiaceae,Antidesma laciniatum,,0.552291361,173,173,173,173,173,187,187,187,187,187,0,0,0,0,0,
387110,3902,1,18,Euphorbiaceae,Antidesma laciniatum,,0.552291361,159,159,159,159,159,160,160,160,160,160,155,155,155,155,155,
386968,3903,1,0,Malvaceae,Desplatsia dewevrei,,0.474369071,184,184,184,184,184,185,185,185,185,185,0,0,0,0,0,
386969,3904,1,17,Malvaceae,Christiana africana,,0.474369071,136,136,136,136,136,159,159,159,159,159,150,150,150,150,150,
386970,3905,1,14,Malvaceae,Desplatsia dewevrei,,0.474369071,276,276,276,276,276,278,278,278,278,278,270,270,270,270,270,
386971,3906,1,13,Malvaceae,Desplatsia dewevrei,,0.474369071,206,206,206,206,206,209,209,209,209,209,196,196,196,196,196,Paint at opposite side
386972,3907,1,14,Meliaceae,Trichilia rubescens,,0.52025,137,137,137,137,137,144,144,144,144,144,130,130,130,130,130,
386973,3908,1,14,Malvaceae,Duboscia macrocarpa,,0.474369071,113,113,113,113,113,113,113,113,113,113,106,106,106,106,106,
386974,3909,1,6,Passifloraceae,Barteria fistulosa,,0.5020669,103,103,103,103,103,102,102,102,102,102,103,103,103,103,103,
386975,3910,1,7,Urticaceae,Myrianthus arboreus,,0.43,495,495,495,495,495,505,505,505,505,505,496,496,496,496,496,
386976,3911,1,7,Malvaceae,Cola indet,sp._A,0.578277778,131,131,131,131,131,132,132,132,132,132,134,134,134,134,134,POM to be changed in the future
386977,3912,1,7,Malvaceae,Grewia oligoneura,,0.415,256,256,256,256,256,277,277,277,277,277,275,275,275,275,275,
386978,3913,1,8,Meliaceae,Trichilia prieuriana,ssp. vermoesenii,0.663,115,115,115,115,115,115,115,115,115,115,116,116,116,116,116,
386979,3914,1,4,Meliaceae,Trichilia tessmannii,,0.52025,288,288,288,288,288,285,285,285,285,285,277,277,277,277,277,
386980,3915,1,3,Meliaceae,Trichilia rubescens,,0.52025,109,109,109,109,109,113,113,113,113,113,115,115,115,115,115,
386981,3916,1,4,Malvaceae,Cola indet,,0.578277778,157,157,157,157,157,160,160,160,160,160,144,144,144,144,144,
386982,3917,1,0,Ebenaceae,Diospyros bipindensis,,0.828845238,139,139,139,139,139,0,0,0,0,0,0,0,0,0,0,
386983,3918,1,4,Meliaceae,Trichilia welwitschii,,0.52025,199,199,199,199,199,204,204,204,204,204,206,206,206,206,206,
386984,3918,1,4,Meliaceae,Trichilia welwitschii,,0.52025,,,,,,,,,,,108,108,108,108,108,
386985,3919,1,7,Ebenaceae,Diospyros canaliculata,,0.828845238,169,169,169,169,169,182,182,182,182,182,176,176,176,176,176,
386986,3920,1,0,Meliaceae,Trichilia welwitschii,,0.52025,161,161,161,161,161,0,0,0,0,0,0,0,0,0,0,
386987,3921,1,7,Olacaceae,Strombosia grandifolia,,0.8245,239,239,239,239,239,267,267,267,267,267,257,257,257,257,257,
386988,3922,1,7,Urticaceae,Myrianthus arboreus,,0.43,,388,388,388,388,391,391,391,391,391,380,380,380,380,380,
386989,3923,1,14,Urticaceae,Myrianthus arboreus,,0.43,601,601,601,601,601,601,601,601,601,601,342,342,342,342,342,One side is dying
386990,3924,1,14,Irvingiaceae,Irvingia grandifolia,,0.8005,123,123,123,123,123,146,146,146,146,146,194,194,194,194,194,
386991,3925,1,14,Lepidobotryaceae,Lepidobotrys staudtii,,0.5020669,192,192,192,192,192,205,205,205,205,205,182,182,182,182,182,
386992,3926,1,17,Euphorbiaceae,Phyllanthus polyanthus,,0.552291361,117,117,117,117,117,123,123,123,123,123,124,124,124,124,124,
386993,3927,1,17,Malvaceae,Sterculia dawei,,0.393,342,342,342,342,342,369,369,369,369,369,408,408,408,408,408,
386994,3928,1,17,Annonaceae,Anonidium mannii,,0.291,145,145,145,145,145,171,171,171,171,171,186,186,186,186,186,
386995,3929,1,17,Meliaceae,Carapa procera,,0.6042,167,167,167,167,167,183,183,183,183,183,144,144,144,144,144,Broken at about 12 m
386996,3930,1,17,Urticaceae,Myrianthus arboreus,,0.43,,360,360,360,360,365,365,365,365,365,0,0,0,0,0,
386997,3931,1,17,Annonaceae,Indet indet,,0.498461361,116,116,116,116,116,121,121,121,121,121,121,121,121,121,121,
386998,3932,1,9,Malvaceae,Christiana africana,,0.474369071,132,132,132,132,132,133,133,133,133,133,132,132,132,132,132,
386999,3933,1,24,Malvaceae,Desplatsia dewevrei,,0.474369071,139,139,139,139,139,140,140,140,140,140,140,140,140,140,140,
387000,3934,1,24,Urticaceae,Myrianthus arboreus,,0.43,133,133,133,133,133,170,170,170,170,170,198,198,198,198,198,
387001,3935,1,0,Ebenaceae,Diospyros canaliculata,,0.828845238,175,175,175,175,175,191,191,191,191,191,0,0,0,0,0,
387002,3936,1,24,Urticaceae,Myrianthus arboreus,,0.43,483,483,483,483,483,490,490,490,490,490,446,446,446,446,446,
387003,3937,1,24,Apocynaceae,Funtumia elastica,,0.424,100,100,100,100,100,103,103,103,103,103,102,102,102,102,102,
387004,3938,1,24,Meliaceae,Trichilia rubescens,,0.52025,112,112,112,112,112,137,137,137,137,137,142,142,142,142,142,
387005,3939,1,4,Apocynaceae,Holarrhena floribunda,,0.469,740,740,740,740,740,762,762,762,762,762,748,748,748,748,748,
387006,3940,1,4,Sapotaceae,Pouteria altissima,,0.44175,179,179,179,179,179,186,186,186,186,186,182,182,182,182,182,
387007,3941,1,4,Urticaceae,Musanga cecropioides,,0.242833333,,700,700,700,700,,718,718,718,718,820,820,820,820,820,One measurement; Still-roots
387008,3942,1,4,Fabaceae,Millettia mannii,,0.76425,116,116,116,116,116,123,123,123,123,123,132,132,132,132,132,
387009,3943,1,4,Malvaceae,Cola indet,sp._A,0.578277778,169,169,169,169,169,167,167,167,167,167,168,168,168,168,168,casse 4m
387010,3944,1,5,Meliaceae,Trichilia prieuriana,ssp. vermoesenii,0.663,179,179,179,179,179,187,187,187,187,187,166,166,166,166,166,
387011,3945,1,4,Meliaceae,Trichilia welwitschii,,0.52025,100,100,100,100,100,101,101,101,101,101,114,114,114,114,114,
387012,3946,1,5,Fabaceae,Dialium tessmannii,,0.86105,921,921,921,921,921,929,929,929,929,929,894,894,894,894,894,
387013,3947,1,5,Rubiaceae,Tricalysia elliotii,var. centrafricana,0.680970366,114,114,114,114,114,123,123,123,123,123,134,134,134,134,134,
387014,3948,1,4,Meliaceae,Trichilia rubescens,,0.52025,129,129,129,129,129,161,161,161,161,161,166,166,166,166,166,
387015,3949,1,7,Ebenaceae,Diospyros canaliculata,,0.828845238,214,214,214,214,214,218,218,218,218,218,0,0,0,0,0,
387016,3950,1,6,Sapindaceae,Blighia unijugata,,0.508,137,137,137,137,137,158,158,158,158,158,163,163,163,163,163,
387017,3951,1,7,Malvaceae,Grewia oligoneura,,0.415,120,120,120,120,120,120,120,120,120,120,121,121,121,121,121,
387018,3952,1,7,Urticaceae,Myrianthus arboreus,,0.43,592,592,592,592,592,594,594,594,594,594,597,597,597,597,597,
387019,3953,1,6,Meliaceae,Trichilia prieuriana,ssp. vermoesenii,0.663,537,537,537,537,537,561,561,561,561,561,385,385,385,385,385,One measurement; high buttresses
387020,3954,1,7,Myristicaceae,Staudtia indet,,0.772764706,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,
387021,3955,1,7,Meliaceae,Carapa procera,,0.6042,131,131,131,131,131,131,131,131,131,131,127,127,127,127,127,Broken at about 8 m
387022,3956,1,6,Sapotaceae,Chrysophyllum lacourtianum,,0.6305,647,647,647,647,647,704,704,704,704,704,612,612,612,612,612,One measurement; high buttresses
387023,3957,1,14,Ebenaceae,Diospyros canaliculata,,0.828845238,143,143,143,143,143,146,146,146,146,146,151,151,151,151,151,
387024,3958,1,14,Irvingiaceae,Klainedoxa gabonensis,,0.925583333,105,105,105,105,105,121,121,121,121,121,149,149,149,149,149,
387025,3959,1,15,Passifloraceae,Barteria fistulosa,,0.5020669,,220,220,220,220,223,223,223,223,223,0,0,0,0,0,
387026,3960,1,14,Meliaceae,Trichilia rubescens,,0.52025,,,,,,135,135,135,135,135,132,132,132,132,132,
387027,3961,1,14,Anacardiaceae,Lannea welwitschii,var. welwitschii,0.405333333,389,389,389,389,389,407,407,407,407,407,386,386,386,386,386,
387028,3962,1,17,Urticaceae,Myrianthus arboreus,,0.43,,367,367,367,367,385,385,385,385,385,335,335,335,335,335,Same base with 71 and 72
387029,3962.1,1,17,Urticaceae,Myrianthus arboreus,,0.43,0,0,0,0,0,0,0,0,0,0,236,236,236,236,236,
387030,3962.2,1,17,Urticaceae,Myrianthus arboreus,,0.43,0,0,0,0,0,0,0,0,0,0,386,386,386,386,386,
387031,3963,1,17,Passifloraceae,Barteria fistulosa,,0.5020669,329,329,329,329,329,338,338,338,338,338,182,182,182,182,182,Same base with 69 and 70
387032,3963.1,1,17,Passifloraceae,Barteria fistulosa,,0.5020669,,,,,,,,,,,168,168,168,168,168,
